Location\Items,Grappling Hook,Progressive Picto Box,Iron Boots,Empty Bottle,Bait Bag,Delivery Bag,Boomerang,Progressive Bow,Hookshot,Deku Leaf,Bombs,Skull Hammer,Command Melody,Triforce Shard 1,Triforce Shard 2,Triforce Shard 3,Triforce Shard 4,Triforce Shard 5,Triforce Shard 6,Triforce Shard 7,Triforce Shard 8,Dragon Tingle Statue,Forbidden Tingle Statue,Goddess Tingle Statue,Earth Tingle Statue,Wind Tingle Statue,Din's Pearl,Farore's Pearl,Nayru's Pearl,Progressive Sword,Progressive Shield,Power Bracelets,DRC Small Key,DRC Big Key,FW Small Key,FW Big Key,TotG Small Key,TotG Big Key,ET Small Key,ET Big Key,WT Small Key,WT Big Key,Maggie's Letter,Moblin's Letter,Note to Mom,Cabana Deed,Ghost Ship Chart,Progressive Wallet,Progressive Magic Meter,Spoils Bag,Progressive Quiver,Treasure Chart 1,Treasure Chart 2,Treasure Chart 3,Treasure Chart 4,Treasure Chart 5,Treasure Chart 6,Treasure Chart 7,Treasure Chart 8,Treasure Chart 9,Treasure Chart 10,Treasure Chart 11,Treasure Chart 12,Treasure Chart 13,Treasure Chart 14,Treasure Chart 15,Treasure Chart 16,Treasure Chart 17,Treasure Chart 18,Treasure Chart 19,Treasure Chart 20,Treasure Chart 21,Treasure Chart 22,Treasure Chart 23,Treasure Chart 24,Treasure Chart 25,Treasure Chart 26,Treasure Chart 27,Treasure Chart 28,Treasure Chart 29,Treasure Chart 30,Treasure Chart 31,Treasure Chart 32,Treasure Chart 33,Treasure Chart 34,Treasure Chart 35,Treasure Chart 36,Treasure Chart 37,Treasure Chart 38,Treasure Chart 39,Treasure Chart 40,Treasure Chart 41,Triforce Chart 1,Triforce Chart 2,Triforce Chart 3,Triforce Chart 4,Triforce Chart 5,Triforce Chart 6,Triforce Chart 7,Triforce Chart 8,Tingle Tuner,Magic Armor,Piece of Heart,Heart Container,Hero's Charm,Progressive Bomb Bag,Red Chu Jelly,Green Chu Jelly,Joy Pendant,Golden Feather,Boko Baba Seed,Skull Necklace,Knight's Crest,All-Purpose Bait,Hyoi Pear,Fill-Up Coupon,Beedle's Chart,Great Fairy Chart,Light Ring Chart,Octo Chart,Platform Chart,Secret Cave Chart,Submarine Chart,Tingle's Chart,Green Rupee,Blue Rupee,Yellow Rupee,Red Rupee,Purple Rupee,Orange Rupee,Silver Rupee,Rainbow Rupee,Hurricane Spin
Outset Island - Underneath Link's House,137,176,129,201,130,142,125,213,153,113,146,138,130,56,46,62,42,46,46,60,55,190,261,233,246,214,240,260,273,191,166,130,0,0,0,0,0,0,0,0,0,0,129,120,128,144,109,130,165,13,38,9,17,15,14,22,30,16,13,19,21,15,17,21,23,15,17,16,23,15,20,20,14,23,17,21,9,28,19,21,15,21,23,16,17,24,19,16,20,18,17,22,18,19,19,21,21,18,21,17,19,27,850,111,24,39,22,19,185,215,12,174,79,30,110,17,18,22,16,24,15,25,23,20,22,47,65,137,243,366,352,17,17
Outset Island - Mesa the Grasscutter's House,146,193,132,191,151,121,112,165,147,125,115,131,116,47,61,53,50,52,55,52,47,222,252,257,237,241,238,272,263,187,181,131,0,0,0,0,0,0,0,0,0,0,123,125,130,122,143,144,153,15,31,29,24,20,19,18,25,25,21,18,22,18,22,14,20,14,25,17,21,21,23,23,25,19,13,17,14,21,12,20,25,18,22,28,21,19,17,16,19,22,14,22,22,15,16,22,14,19,12,21,15,21,898,111,16,34,19,22,220,204,22,203,68,30,105,17,20,21,22,14,20,20,27,21,18,53,67,97,206,342,323,19,12
Outset Island - Orca - Give 10 Knight's Crests,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,51,28,28,25,20,26,31,22,27,29,23,32,22,21,29,26,23,24,29,23,32,21,22,21,24,19,17,29,23,25,22,21,24,20,22,38,25,20,25,26,24,20,30,18,21,20,26,26,13,21,28,26,1131,142,31,66,80,78,718,736,89,701,241,62,317,19,34,23,19,21,25,27,19,28,88,147,226,354,727,1176,1180,75,24
Outset Island - Orca - Hit 500 Times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,104,960,1041,109,996,344,114,447,0,0,0,0,0,0,0,0,0,120,228,331,541,1118,1616,1733,118,0
Outset Island - Great Fairy,81,171,88,155,88,70,73,312,84,0,81,105,74,89,69,92,84,84,68,74,82,47,45,44,48,37,57,43,44,375,214,85,0,0,0,0,0,0,0,0,0,0,92,91,76,86,70,97,197,29,49,24,24,31,31,29,26,43,28,23,22,23,23,24,31,23,28,35,27,27,23,23,31,23,25,22,29,42,33,28,30,25,29,34,35,25,30,20,37,20,25,27,28,33,26,27,25,26,33,16,17,27,1250,173,26,51,41,37,321,305,30,286,103,31,148,26,30,30,28,27,28,25,37,23,25,66,90,159,325,490,478,39,26
Outset Island - Jabun's Cave,116,190,109,179,95,128,114,320,99,130,0,87,111,68,49,67,69,77,50,56,62,81,96,98,97,96,97,102,103,322,236,87,0,0,0,0,0,0,0,0,0,0,112,100,116,112,106,139,207,22,50,31,20,25,21,29,31,27,25,23,32,18,13,33,23,26,23,25,32,21,29,19,24,24,17,25,24,25,25,17,30,26,20,28,22,24,20,16,22,25,38,23,25,25,16,15,25,22,24,19,23,30,1061,158,35,45,31,30,250,249,28,275,93,29,132,31,34,33,31,31,22,37,35,28,33,64,101,143,270,434,432,22,23
Outset Island - Dig up Black Soil,125,292,100,173,0,100,89,428,129,136,97,125,133,70,63,65,48,61,70,50,46,60,67,49,63,48,60,44,55,415,301,0,0,0,0,0,0,0,0,0,0,0,99,130,110,126,115,135,263,21,58,24,28,26,23,29,22,21,27,24,32,23,20,28,19,18,28,29,24,17,24,33,26,35,21,18,22,18,27,23,30,19,21,22,14,22,29,18,20,19,25,15,23,34,26,33,26,25,25,29,16,25,1125,138,28,47,26,27,263,262,29,278,101,24,116,27,30,24,18,22,17,16,25,22,35,56,93,125,278,410,446,27,21
Outset Island - Savage Labyrinth - Floor 30,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,44,80,38,60,37,41,51,48,45,33,50,36,54,40,42,41,38,42,37,51,46,35,35,49,45,45,46,39,42,54,38,46,29,51,32,48,44,41,42,39,39,47,38,39,42,45,37,50,34,51,45,54,50,1906,273,37,108,51,65,474,479,54,454,156,56,212,55,45,33,38,53,45,41,52,44,48,95,150,248,564,779,793,56,36
Outset Island - Savage Labyrinth - Floor 50,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,54,94,38,37,50,53,35,37,54,38,37,38,44,33,46,38,40,50,43,43,45,42,37,53,46,56,53,39,45,49,34,35,44,44,41,45,47,43,56,52,48,45,49,43,52,40,44,36,48,57,42,33,49,1937,258,47,74,37,50,454,478,44,428,156,45,190,50,39,48,35,40,45,44,42,40,56,133,148,273,505,798,820,53,50
Outset Island - Sunken Treasure,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,22,51,28,20,31,26,34,22,18,23,20,27,24,34,25,24,17,24,16,32,25,37,25,20,32,23,37,36,27,33,33,25,24,30,25,25,30,33,14,35,23,21,24,23,29,25,0,26,24,31,20,30,30,1162,173,23,44,0,0,573,0,0,0,0,0,0,21,24,36,27,29,26,32,27,34,0,0,542,1249,1758,2687,0,0,29
